"Name","num_trainable_params","best_f1","_wandb"
"FT-Freeze3","64382978","0.9292250871658324",""
"adapter-16","610178","0.9267820715904236",""
"Full FT","177854978","0.926649808883667",""
"FT-Freeze4","57295106","0.925621509552002",""
"adapter-8","315074","0.9244399070739746",""
"FT-Freeze6","43119362","0.9243534803390504",""
"lora-16","589824","0.920552372932434",""
"adapter-4","167522","0.920246124267578",""
"FT-Freeze9","21855746","0.9199620485305786",""
"LoRA-8","294912","0.9198083877563475",""
"LoRA-4","147456","0.917755961418152",""
"FT-Freeze10","14767874","0.9167150259017944",""
"adapter-2","93746","0.9153345823287964",""
"LoRA-2","73728","0.9120742082595824",""
"adapter-1","56858","0.9096781015396118",""
"LoRA-1","36864","0.9053467512130736",""
"FT-Freeze11","7680002","0.8961280584335327",""
